epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,24198,1.10753,1.30666,1.54556,0.76802,0.69173,0.76574,0.48892,1.39808,1.45641,2.15209,0.000331377,0.000331377,0.000331377
43,24492.5,1.07804,1.23031,1.541,0.72068,0.51153,0.64743,0.41577,1.39499,1.60604,2.1526,0.00032821,0.00032821,0.00032821
44,24792.1,1.05472,1.21946,1.55974,0.66456,0.65735,0.67387,0.4187,1.47793,1.55837,2.26936,0.000324987,0.000324987,0.000324987
45,25084.2,1.07746,1.15393,1.55669,0.67394,0.69509,0.73201,0.44752,1.4818,1.42832,2.24433,0.000321711,0.000321711,0.000321711
46,25377.8,1.06977,1.18153,1.53115,0.67179,0.6858,0.72518,0.4277,1.56408,1.5557,2.40733,0.000318381,0.000318381,0.000318381
47,25658.2,1.04189,1.14699,1.53461,0.72387,0.73968,0.78068,0.47523,1.41304,1.39853,2.14975,0.000315001,0.000315001,0.000315001
48,25891.9,1.06264,1.17879,1.53315,0.72073,0.73561,0.7647,0.46167,1.49898,1.37036,2.32649,0.000311572,0.000311572,0.000311572
49,26132.4,1.0831,1.1174,1.54226,0.75569,0.70676,0.75956,0.46983,1.42879,1.38446,2.21065,0.000308094,0.000308094,0.000308094
50,26397.5,1.03889,1.12075,1.50767,0.73971,0.65196,0.71217,0.42974,1.59051,1.61381,2.38384,0.000304569,0.000304569,0.000304569
51,26661,1.03444,1.05929,1.52568,0.62827,0.76603,0.76379,0.46928,1.47759,1.35935,2.21944,0.000301,0.000301,0.000301
52,26923.6,1.07025,1.12441,1.55844,0.70925,0.73853,0.73352,0.46395,1.39185,1.3699,2.13181,0.000297387,0.000297387,0.000297387
53,27240.7,1.036,1.09026,1.51908,0.6864,0.76648,0.77153,0.45002,1.51908,1.39287,2.26361,0.000293733,0.000293733,0.000293733
54,27494.9,1.02604,1.05982,1.50909,0.70344,0.72234,0.74621,0.46568,1.47434,1.34145,2.24956,0.000290038,0.000290038,0.000290038
